Date,Time,Time_End,Duration_Min,Sport,Discipline,Discipline_AR,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-13,17:55:00,18:35:00,40,Basketball 3x3,Women’s Bronze Medal Game,سيدات - مباراة الميدالية البرونزية,Bronze Medal Game,Women,Gharafa Sports Hall,,COM-2026-0490,https://gccgames.qa/frontend/schedule-competition
2026-05-13,18:20:00,19:00:00,40,Basketball 3x3,Men’s Bronze Medal Game,رجال - مباراة الميدالية البرونزية,Bronze Medal Game,Men,Gharafa Sports Hall,,COM-2026-0491,https://gccgames.qa/frontend/schedule-competition
2026-05-13,18:45:00,19:25:00,40,Basketball 3x3,Women’s Final,سيدات - النهائي,Final,Women,Gharafa Sports Hall,,COM-2026-0492,https://gccgames.qa/frontend/schedule-competition
2026-05-13,19:10:00,19:50:00,40,Basketball 3x3,Men’s Final,رجال - النهائي,Final,Men,Gharafa Sports Hall,,COM-2026-0493,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,11:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0190,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,11:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0191,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,11:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0192,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,11:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0193,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,12:30:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0194,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,12:30:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0195,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,12:30:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0196,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,12:30:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0197,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,14:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0198,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,14:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0199,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,14:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0200,https://gccgames.qa/frontend/schedule-competition
2026-05-12,13:00:00,14:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0201,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,15:30:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0202,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,15:30:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0203,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,15:30:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0204,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,15:30:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0205,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:00:00,17:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0206,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:00:00,17:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0207,https://gccgames.qa/frontend/schedule-competition
2026-05-13,10:00:00,11:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Semi Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0208,https://gccgames.qa/frontend/schedule-competition
2026-05-13,10:00:00,11:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Semi Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0209,https://gccgames.qa/frontend/schedule-competition
2026-05-13,12:00:00,13:00:00,60,Billiards,Men’s 10-Ball Singles,10 كرات فردي رجال,Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0210,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:00:00,16:30:00,90,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0211,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:00:00,16:30:00,90,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0212,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:00:00,18:30:00,90,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0213,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:00:00,18:30:00,90,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0214,https://gccgames.qa/frontend/schedule-competition
2026-05-13,19:00:00,20:30:00,90,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0215,https://gccgames.qa/frontend/schedule-competition
2026-05-13,19:00:00,20:30:00,90,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Qualification,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0216,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:00:00,11:30:00,90,Billiards,Men’s 10-Ball Doubles,10 كرات زوجي رجال,Semi Final,Men,Qatar Billiards & Snooker Federation Hall,,COM-2026-0217,https://gccgames.qa/frontend/schedule-competition
