Date,Time,Sport,Discipline,Discipline_AR,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-12,11:50:00,Basketball 3x3,Women’s Preliminary,Match 3 - سيدات تمهيدي - المباراة 3,Qualification,Women,Al Gharafa Sports Hall,"OMA,QAT",COM-2026-0122,https://gccgames.qa/frontend/schedule-competition
2026-05-12,12:15:00,Basketball 3x3,Men’s Preliminary,Match 4 - رجال تمهيدي - المباراة 4,Qualification,Men,Al Gharafa Sports Hall,"BRN,KUW",COM-2026-0123,https://gccgames.qa/frontend/schedule-competition
2026-05-12,12:40:00,Basketball 3x3,Men’s Preliminary,Match 5 - رجال تمهيدي - المباراة 5,Qualification,Men,Al Gharafa Sports Hall,"KSA,QAT",COM-2026-0124,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:05:00,Basketball 3x3,Women’s Preliminary,Match 6 - سيدات تمهيدي - المباراة 6,Qualification,Women,Al Gharafa Sports Hall,"KSA,QAT",COM-2026-0125,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:30:00,Basketball 3x3,Women’s Preliminary,Match 7 - سيدات تمهيدي - المباراة 7,Qualification,Women,Al Gharafa Sports Hall,"BRN,OMA",COM-2026-0126,https://gccgames.qa/frontend/schedule-competition
2026-05-12,14:55:00,Basketball 3x3,Women’s Preliminary,Match 8 - سيدات تمهيدي - المباراة 8,Qualification,Women,Al Gharafa Sports Hall,"KSA,KUW",COM-2026-0127,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:20:00,Basketball 3x3,Men’s Preliminary,Match 9 - رجال تمهيدي - المباراة 9,Qualification,Men,Al Gharafa Sports Hall,"KSA,KUW",COM-2026-0128,https://gccgames.qa/frontend/schedule-competition
2026-05-12,15:45:00,Basketball 3x3,Men’s Preliminary,Match 10 - رجال تمهيدي - المباراة 10,Qualification,Men,Al Gharafa Sports Hall,"BRN,QAT",COM-2026-0129,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:10:00,Basketball 3x3,Women’s Preliminary,Match 11 - سيدات تمهيدي - المباراة 11,Qualification,Women,Al Gharafa Sports Hall,"BRN,QAT",COM-2026-0130,https://gccgames.qa/frontend/schedule-competition
2026-05-12,16:35:00,Basketball 3x3,Women’s Preliminary,Match 12 - سيدات تمهيدي - المباراة 12,Qualification,Women,Al Gharafa Sports Hall,"KUW,OMA",COM-2026-0131,https://gccgames.qa/frontend/schedule-competition
2026-05-12,17:00:00,Basketball 3x3,Women’s Preliminary,Match 13 - سيدات تمهيدي - المباراة 13,Qualification,Women,Al Gharafa Sports Hall,"BRN,KSA",COM-2026-0132,https://gccgames.qa/frontend/schedule-competition
2026-05-12,17:25:00,Basketball 3x3,Men’s Preliminary,Match 14 - رجال تمهيدي - المباراة 14,Qualification,Men,Al Gharafa Sports Hall,"KUW,QAT",COM-2026-0133,https://gccgames.qa/frontend/schedule-competition
2026-05-12,17:50:00,Basketball 3x3,Men’s Preliminary,Match 15 - رجال تمهيدي - المباراة 15,Qualification,Men,Al Gharafa Sports Hall,"BRN,KSA",COM-2026-0134,https://gccgames.qa/frontend/schedule-competition
2026-05-12,18:15:00,Basketball 3x3,Women’s Preliminary,Match 16 - سيدات تمهيدي - المباراة 16,Qualification,Women,Al Gharafa Sports Hall,"KUW,QAT",COM-2026-0135,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:00:00,Basketball 3x3,Women’s Semi Final,Match 17 - سيدات نصف النهائي - المباراة 17,Semi Final,Women,Al Gharafa Sports Hall,,COM-2026-0136,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:25:00,Basketball 3x3,Women’s Semi Final,Match 18 - سيدات نصف النهائي - المباراة 18,Semi Final,Women,Al Gharafa Sports Hall,,COM-2026-0137,https://gccgames.qa/frontend/schedule-competition
2026-05-13,15:50:00,Basketball 3x3,Men’s Semi Final,Match 19 - رجال نصف النهائي - المباراة 19,Semi Final,Men,Al Gharafa Sports Hall,,COM-2026-0138,https://gccgames.qa/frontend/schedule-competition
2026-05-13,16:15:00,Basketball 3x3,Men’s Semi Final,Match 20 - رجال نصف النهائي - المباراة 20,Semi Final,Men,Al Gharafa Sports Hall,,COM-2026-0139,https://gccgames.qa/frontend/schedule-competition
2026-05-13,16:40:00,Basketball 3x3,Women’s Bronze Medal Match,مباراة الميدالية البرونزية سيدات,Final,Women,Al Gharafa Sports Hall,,COM-2026-0140,https://gccgames.qa/frontend/schedule-competition
