Date,Time,Sport,Discipline,Phase,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-14,10:00:00,Table Tennis,Men’s Singles Round of 32,,,,,COM-2026-0335,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:00:00,Table Tennis,Women’s Singles Round of 32,,,,,COM-2026-0336,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:00:00,Table Tennis,Women’s Singles Round of 32,,,,,COM-2026-0337,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:50:00,Table Tennis,Mixed Doubles Semifinal,,,,,COM-2026-0338,https://gccgames.qa/frontend/schedule-competition
2026-05-14,10:50:00,Table Tennis,Mixed Doubles Semifinal,,,,,COM-2026-0339,https://gccgames.qa/frontend/schedule-competition
2026-05-14,11:40:00,Table Tennis,Women’s Singles Round of 16,,,,,COM-2026-0340,https://gccgames.qa/frontend/schedule-competition
2026-05-14,11:40:00,Table Tennis,Women’s Singles Round of 16,,,,,COM-2026-0341,https://gccgames.qa/frontend/schedule-competition
2026-05-14,11:40:00,Table Tennis,Women’s Singles Round of 16,,,,,COM-2026-0342,https://gccgames.qa/frontend/schedule-competition
2026-05-14,11:40:00,Table Tennis,Women’s Singles Round of 16,,,,,COM-2026-0343,https://gccgames.qa/frontend/schedule-competition
2026-05-14,11:40:00,Table Tennis,Women’s Singles Round of 16,,,,,COM-2026-0344,https://gccgames.qa/frontend/schedule-competition
2026-05-14,11:40:00,Table Tennis,Women’s Singles Round of 16,,,,,COM-2026-0345,https://gccgames.qa/frontend/schedule-competition
2026-05-14,11:40:00,Table Tennis,Women’s Singles Round of 16,,,,,COM-2026-0346,https://gccgames.qa/frontend/schedule-competition
2026-05-14,11:40:00,Table Tennis,Women’s Singles Round of 16,,,,,COM-2026-0347,https://gccgames.qa/frontend/schedule-competition
2026-05-14,12:15:00,Table Tennis,Men’s Singles Round of 16,,,,,COM-2026-0348,https://gccgames.qa/frontend/schedule-competition
2026-05-14,12:15:00,Table Tennis,Men’s Singles Round of 16,,,,,COM-2026-0349,https://gccgames.qa/frontend/schedule-competition
2026-05-14,12:15:00,Table Tennis,Men’s Singles Round of 16,,,,,COM-2026-0350,https://gccgames.qa/frontend/schedule-competition
2026-05-14,12:15:00,Table Tennis,Men’s Singles Round of 16,,,,,COM-2026-0351,https://gccgames.qa/frontend/schedule-competition
2026-05-14,12:15:00,Table Tennis,Men’s Singles Round of 16,,,,,COM-2026-0352,https://gccgames.qa/frontend/schedule-competition
