Date,Time,Time_End,Duration_Min,Sport,Discipline,Discipline_AR,Phase,Status,Gender,Venue,Country_Entries,Event_ID,Source_URL
2026-05-13,15:50:00,16:30:00,40,Basketball 3x3,Men’s Pool A Game 10,رجال - مباراة المجموعة A المباراة 10,Pool A,Official,Men,Gharafa Sports Hall,"BRN,UAE",COM-2026-0485,https://gccgames.qa/frontend/schedule-competition
2026-05-13,16:15:00,16:55:00,40,Basketball 3x3,Women’s Semi-Final Game 1,سيدات - نصف النهائي  مباراة 1,Semi-Final,Official,Women,Gharafa Sports Hall,"KSA,QAT",COM-2026-0486,https://gccgames.qa/frontend/schedule-competition
2026-05-13,16:40:00,17:20:00,40,Basketball 3x3,Women’s Semi-Final Game 2,سيدات - نصف النهائي مباراة 2,Semi-Final,Official,Women,Gharafa Sports Hall,"BRN,KUW",COM-2026-0487,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:05:00,17:45:00,40,Basketball 3x3,Men’s Semi-Final Game 1,رجال - نصف النهائي مباراة 1,Semi-Final,Official,Men,Gharafa Sports Hall,"KSA,QAT",COM-2026-0488,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:30:00,18:10:00,40,Basketball 3x3,Men’s Semi-Final Game 2,رجال - نصف النهائي مباراة 2,Semi-Final,Official,Men,Gharafa Sports Hall,"BRN,UAE",COM-2026-0489,https://gccgames.qa/frontend/schedule-competition
2026-05-13,17:55:00,18:35:00,40,Basketball 3x3,Women’s Bronze Medal Game,سيدات - مباراة الميدالية البرونزية,Bronze Medal Game,Official,Women,Gharafa Sports Hall,"KUW,QAT",COM-2026-0490,https://gccgames.qa/frontend/schedule-competition
2026-05-13,18:20:00,19:00:00,40,Basketball 3x3,Men’s Bronze Medal Game,رجال - مباراة الميدالية البرونزية,Bronze Medal Game,Official,Men,Gharafa Sports Hall,"KSA,UAE",COM-2026-0491,https://gccgames.qa/frontend/schedule-competition
2026-05-13,18:45:00,19:25:00,40,Basketball 3x3,Women’s Final,سيدات - النهائي,Final,Official,Women,Gharafa Sports Hall,"BRN,KSA",COM-2026-0492,https://gccgames.qa/frontend/schedule-competition
2026-05-13,19:10:00,19:50:00,40,Basketball 3x3,Men’s Final,رجال - النهائي,Final,Official,Men,Gharafa Sports Hall,"BRN,QAT",COM-2026-0493,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,11:00:00,60,Billiards,Men’s 10-Ball Singles Match No 2,كرات فردي رجال 10   مباراة رقم 2,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"KSA,KUW",COM-2026-0190,https://gccgames.qa/frontend/schedule-competition
2026-05-12,10:00:00,11:00:00,60,Billiards,Men’s 10-Ball Singles Match No 7,كرات فردي رجال 10 مباراة رقم 7,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"BRN,KUW",COM-2026-0191,https://gccgames.qa/frontend/schedule-competition
2026-05-12,11:30:00,12:30:00,60,Billiards,Men’s 10-Ball Singles Match No 11,11 كرات فردي رجال 10 مباراة رقم,Qualification,Official,Men,Qatar Billiards & Snooker Federation Hall,"QAT,UAE",COM-2026-0192,https://gccgames.qa/frontend/schedule-competition
