Athlete,Sport,Date,Competition,Comp Set,Class,Discipline,Discipline_AR,Phase,Gender,Age,Rank,Result,Medal,Wind,Attempt,Lane_Heat,Reaction_Time,Split_Times,Status,Country,Detection_Method,Source_URL
Emad Addin  Zaben,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 50m Freestyle Heat 1,سباحة 50م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0496
Ali Alessa,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 100m Backstroke Heat 1,سباحة 100م ظهر بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0497
Ali Alabdlwahab,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 100m Backstroke Heat 1,سباحة 100م ظهر بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0497
Ahmed  Almueibid,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 200م Butterfly Heat 1,سباحة 200م فراشة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0498
Mohammed Alzaki,Swimming,2026-05-12,4th GCC Games Doha 2026,GCC Games,,Boys 200م Butterfly Heat 1,سباحة 200م فراشة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0498
Ghanem Alsulhi,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 400m Freestyle Heat 1,سباحة 400م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0499
Ahmed  Almueibid,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 400m Freestyle Heat 1,سباحة 400م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0499
Mohammed Alotaibi,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 50m Breaststroke Heat 1,سباحة 50م صدر بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0500
Emad  Alsibiani,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 50m Breaststroke Heat 1,سباحة 50م صدر بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0500
Emad Addin  Zaben,Swimming,2026-05-13,4th GCC Games Doha 2026,GCC Games,,Boys 100m Freestyle Heat 1,سباحة 100م حرة بنين - الجولة 1,Heats,Men,,,,,,,,,,Scheduled,KSA,GCC API,https://gccgames.qa/frontend/sport/swimming/COM-2026-0501
